Name,Sweep (T1),,,Name,Sweep (T1),,,Name,Sweep (T1),,,
396869712.351946,-20.1315498352051,,,396869712.351946,-20.1824188232422,,,396869712.351946,-20.1532955169678,,,
399323181.049069,-20.1497364044189,,,399323181.049069,-20.1990280151367,,,399323181.049069,-20.1729717254639,,,
401776649.746193,-20.1679210662842,,,401776649.746193,-20.2156372070313,,,401776649.746193,-20.19264793396,,,
404230118.443316,-20.1861057281494,,,404230118.443316,-20.2322463989258,,,404230118.443316,-20.2123241424561,,,
406683587.14044,-20.1852130889893,,,406683587.14044,-20.2281837463379,,,406683587.14044,-20.2168750762939,,,
409137055.837563,-20.1819629669189,,,409137055.837563,-20.221565246582,,,409137055.837563,-20.219554901123,,,
411590524.534687,-20.1787128448486,,,411590524.534687,-20.2149467468262,,,411590524.534687,-20.2222347259521,,,
414043993.231811,-20.1754627227783,,,414043993.231811,-20.2083282470703,,,414043993.231811,-20.2249145507813,,,
416497461.928934,-20.172212600708,,,416497461.928934,-20.2017097473145,,,416497461.928934,-20.227596282959,,,
418950930.626058,-20.1689624786377,,,418950930.626058,-20.1950912475586,,,418950930.626058,-20.2302761077881,,,
421404399.323181,-20.1584930419922,,,421404399.323181,-20.1842823028564,,,421404399.323181,-20.2215347290039,,,
423857868.020305,-20.147876739502,,,423857868.020305,-20.1733894348145,,,423857868.020305,-20.2125606536865,,,
426311336.717428,-20.1372604370117,,,426311336.717428,-20.1624946594238,,,426311336.717428,-20.2035865783691,,,
428764805.414552,-20.1266441345215,,,428764805.414552,-20.1515998840332,,,428764805.414552,-20.1946125030518,,,
431218274.111675,-20.1160278320313,,,431218274.111675,-20.1407051086426,,,431218274.111675,-20.1856384277344,,,
433671742.808799,-20.1068172454834,,,433671742.808799,-20.1310958862305,,,433671742.808799,-20.1779899597168,,,
436125211.505922,-20.1162776947021,,,436125211.505922,-20.138557434082,,,436125211.505922,-20.1879711151123,,,
438578680.203046,-20.1257381439209,,,438578680.203046,-20.1460189819336,,,438578680.203046,-20.1979503631592,,,
441032148.900169,-20.1351985931396,,,441032148.900169,-20.1534805297852,,,441032148.900169,-20.2079315185547,,,
443485617.597293,-20.1446590423584,,,443485617.597293,-20.1609420776367,,,443485617.597293,-20.2179107666016,,,
445939086.294416,-20.1541213989258,,,445939086.294416,-20.1684036254883,,,445939086.294416,-20.2278919219971,,,
448392554.99154,-20.1614875793457,,,448392554.99154,-20.1746978759766,,,448392554.99154,-20.2331962585449,,,
450846023.688663,-20.1578578948975,,,450846023.688663,-20.1748600006104,,,450846023.688663,-20.2139568328857,,,
453299492.385787,-20.1542282104492,,,453299492.385787,-20.1750240325928,,,453299492.385787,-20.1947154998779,,,
455752961.08291,-20.150598526001,,,455752961.08291,-20.1751880645752,,,455752961.08291,-20.1754760742188,,,
458206429.780034,-20.1469688415527,,,458206429.780034,-20.175350189209,,,458206429.780034,-20.1562366485596,,,
460659898.477157,-20.1433391571045,,,460659898.477157,-20.1755142211914,,,460659898.477157,-20.1369953155518,,,
463113367.174281,-20.1446208953857,,,463113367.174281,-20.1752376556396,,,463113367.174281,-20.127025604248,,,
465566835.871404,-20.1606311798096,,,465566835.871404,-20.1736450195313,,,465566835.871404,-20.1448593139648,,,
468020304.568528,-20.176643371582,,,468020304.568528,-20.1720504760742,,,468020304.568528,-20.1626930236816,,,
470473773.265651,-20.1926555633545,,,470473773.265651,-20.1704578399658,,,470473773.265651,-20.1805286407471,,,
472927241.962775,-20.208667755127,,,472927241.962775,-20.1688652038574,,,472927241.962775,-20.1983623504639,,,
